workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID,homeCountry,workCountry,homeCanton,workCanton,distance,closer to home,closer to work,routeTime
47.38,8.54,49.0,47.38,8.54,51.0,101,2956936937,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 1.6615021190898316)","('Zurich', 1.6615021190898316)",0.0
46.2,6.25,16.0,46.2,6.25,81.0,102,188704924,France,France,-,-,0.0,"('Annemasse', 1.1324118130907088)","('Annemasse', 1.1324118130907088)",0.0
46.2,6.14,50.0,46.2,6.14,49.0,102,284127608,Suisse,Suisse,Genève,Genève,0.0,"('Geneva', 2.0536168395962333)","('Geneva', 2.0536168395962333)",0.0
45.89,6.13,53.0,45.89,6.13,49.0,102,1260226550,France,France,-,-,0.0,"('Annecy', 1.5142496250374293)","('Annecy', 1.5142496250374293)",0.0
45.92,6.87,52.0,45.92,6.87,33.0,102,138826733,France,France,-,-,0.0,"('Sion', 50.80580595438094)","('Sion', 50.80580595438094)",0.0
47.74,7.32,37.0,47.74,7.32,61.0,102,258030867,France,France,-,-,0.0,"('Mulhouse', 1.4908306294017462)","('Mulhouse', 1.4908306294017462)",0.0
46.13,8.25,47.0,46.13,8.25,55.0,102,3239836115,Italia,Italia,-,-,0.0,"('Varese', 56.451584852213564)","('Varese', 56.451584852213564)",0.0
47.49,6.84,22.0,47.49,6.84,51.0,102,1321135351,France,France,-,-,0.0,"('Mulhouse', 46.90468754431228)","('Mulhouse', 46.90468754431228)",0.0
47.15,7.26,49.0,47.15,7.26,45.0,102,895638505,Suisse,Suisse,Bern - Berne,Bern - Berne,0.0,"('Bern', 30.285666081793494)","('Bern', 30.285666081793494)",0.0
45.83,8.81,14.0,45.83,8.81,13.0,102,1308700544,Italia,Italia,-,-,0.0,"('Varese', 1.8739444639274843)","('Varese', 1.8739444639274843)",0.0
46.81,8.22,12.0,46.81,8.22,90.0,102,728687598,Suisse,Suisse,Obwalden,Obwalden,0.0,"('Luzern', 30.57643122586675)","('Luzern', 30.57643122586675)",0.0
47.16,9.55,29.0,47.16,9.55,33.0,102,18605696,Liechtenstein,Liechtenstein,-,-,0.0,"('Zurich', 78.83168573900753)","('Zurich', 78.83168573900753)",0.0
46.34,6.44,41.0,46.34,6.44,51.0,102,3957280955,France,France,-,-,0.0,"('Annemasse', 22.434370875978328)","('Annemasse', 22.434370875978328)",0.0
45.87,6.71,48.0,45.87,6.71,48.0,102,349169858,France,France,-,-,0.0,"('Annecy', 46.015107813814076)","('Annecy', 46.015107813814076)",0.0
45.83,8.67,63.0,45.83,8.67,34.0,102,318541668,Italia,Italia,-,-,0.0,"('Varese', 12.189662269065254)","('Varese', 12.189662269065254)",0.0
47.72,7.28,32.0,47.72,7.28,70.0,102,3387972351,France,France,-,-,0.0,"('Mulhouse', 5.1944798445368106)","('Mulhouse', 5.1944798445368106)",0.0
47.4,8.54,18.0,47.4,8.54,18.0,102,50958268,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 3.7794531432912972)","('Zurich', 3.7794531432912972)",0.0
47.64,9.17,20.0,47.71,9.15,48.0,102,1103913025,Deutschland,Suisse,-,Thurgau,7.921398426262619,"('Zurich', 59.005703918453214)","('Zurich', 55.57735813124365)",33.416666666666664
